Brand = TVS                                                        age = less than or equal to 2
Owner = First Owner
+---------------------------------------------------------------+--------+-------------------+----------+-----------+---+-----+-----+
|bike_name                                                      |price   |city               |kms_driven|owner      |age|power|brand|
|TVS Apache RTR 200 4V Fi                       |65949.0 |Hyderabad  |25931.0   |Second Owner|5.0 |200.0|TVS  |
|TVS Apache RTR 200 4V Fi                       |65949.0 |Hyderabad  |25931.0   |Second Owner|5.0 |200.0|TVS  |
|TVS Apache RTR 160cc                           |31000.0 |Ahmedabad  |37594.0   |Third Owner |6.0 |160.0|TVS  |
|TVS Jive 110cc                                 |10000.0 |Kanchipuram|35000.0   |Second Owner|11.0|110.0|TVS  |
|TVS Apache RTR 180cc                           |72000.0 |Delhi      |7000.0    |Second Owner|3.0 |180.0|TVS  |
|TVS Star City 110cc                            |18000.0 |Tiruvallur |70000.0   |Second Owner|15.0|110.0|TVS  |
|TVS Apache RTR 180cc                           |72000.0 |Delhi      |7000.0    |Second Owner|3.0 |180.0|TVS  |
|TVS Apache RTR 160cc                           |16000.0 |Dehradun   |75000.0   |Third Owner |14.0|160.0|TVS  |
|TVS Star Sport 100cc                           |22800.0 |Jhansi     |17000.0   |Second Owner|5.0 |100.0|TVS  |
|TVS Apache RTR 160cc                           |28000.0 |Lucknow    |22000.0   |Second Owner|8.0 |160.0|TVS  |
|TVS Apache RTR 160 4V Carburetor With Rear Disc|80000.0 |Delhi      |11877.0   |Second Owner|3.0 |160.0|TVS  |
|TVS Apache RTR 160cc                           |28000.0 |Lucknow    |22000.0   |Second Owner|8.0 |160.0|TVS  |
|TVS Apache RTR 160cc                           |16000.0 |Dehradun   |75000.0   |Third Owner |14.0|160.0|TVS  |
|TVS Apache RTR 200 4V FI                       |65000.0 |Sonepat    |8800.0    |Third Owner |4.0 |200.0|TVS  |
|TVS Apache RTR 160cc                           |49500.0 |Mehsana    |20000.0   |Second Owner|4.0 |160.0|TVS  |
|TVS Apache RTR 160cc                           |23000.0 |Vellore    |32500.0   |Second Owner|11.0|160.0|TVS  |
|TVS Apache RTR 160cc                           |41000.0 |Delhi      |26528.0   |Third Owner |5.0 |160.0|TVS  |
|TVS Apache RTR 160cc                           |41000.0 |Delhi      |15880.0   |Third Owner |5.0 |160.0|TVS  |
|TVS Apache RTR 160 4V Disc                     |65000.0 |Ghaziabad  |10906.0   |Second Owner|3.0 |160.0|TVS  |
|TVS Star Sport 100cc                           |8000.0  |Faridabad  |49730.0   |Second Owner|11.0|100.0|TVS  |
|TVS Apache RR310                               |220000.0|Aligarh    |2402.0    |Second Owner|3.0 |310.0|TVS  |
|TVS Apache RR310                               |220000.0|Aligarh    |2402.0    |Second Owner|3.0 |310.0|TVS  |
|TVS Apache RTR 160cc                           |23000.0 |Chennai    |34000.0   |Second Owner|11.0|160.0|TVS  |
|TVS Apache RTR 160cc                           |51000.0 |Jaipur     |23000.0   |Second Owner|6.0 |160.0|TVS  |
|TVS Apache RTR 160cc                           |60000.0 |Hyderabad  |20482.0   |Second Owner|4.0 |160.0|TVS  |
+-----------------------------------------------+--------+-----------+----------+------------+----+-----+-----+
